id;a;b;tendency_a;tendency_b;constistency
155;Saya suka membaca berita-berita surat kabar tentang pembunuhan-pembunuhan dan lain-lain perbuatan kekerasan;Saya ingin menulis roman atau sandiwara yang hebat;Agg;Ach;
156;Saya suka memberi pertolongan-pertolongan kecil kepada teman-teman saya;Dalam merencanakan sesuatu, saya ingin mendapat saran-saran dari orang-orang yang pendapatnya saya hormati;Nur;Def;Def
157;Saya ingin mengalami pembaharuan dan perubahan dalam kehidupan saya sehari-hari;Saya suka menyatakan kepada atasan saya bahwa mereka telah melakukan sesuatu pekerjaan yang baik, apabila memang demikian adanya;Chg;Def;
158;Saya suka bekerja sampai jauh malam untuk menyelesaikan suatu pekerjaan;Saya suka memuji orang yang saya kagumi;End;Def;
159;Saya suka nafsu saya terangsang;Saya suka menerima pimpinan dari orang-orang yang saya kagumi;Het;Def;
160;Rasa rasanya ingin membalas dendam bila seseorang menghina saya;Apabila saya berada dalam kelompok saya suka menerima pimpinan orang lain dalam memutuskan apa yang akan dilakukan oleh kelompok tersebut;Agg;Def;
161;Saya suka bermurah hati terhadap teman-teman saya;Saya suka membuat rencana sebelum memulai pekerjaan yang sulit;Nur;Ord;
162;Saya suka bertemu dengan orang-orang baru;Saya menghendaki bahwa setiap pekerjaan tulis saya teliti, rapi dan tersusun dengan baik;Chg;Ord;Ord
163;Saya suka menyelesaikan setiap pekerjaan atau tugas yang telah saya mulai;Saya ingin barang-barang saya tersusun rapi dan teratur di atas meja atau di dalam ruang kerja saya;End;Ord;
164;Saya ingin dianggap punya daya tarik fisik oleh orang-orang dari lawan jenis saya;Saya suka merencanakan dan mengatur detail-detail dari setiap pekerjaan yang harus saya lakukan;Het;Ord;
165;Saya suka mengatakan kepada orang-orang lain bagaimana pendapat saya mengenai mereka;Saya suka makan saya teratur dan ada waktu-waktu tertentu untuk makan;Agg;Ord;
166;Saya suka berlaku ramah tehadap teman-teman saya;Saya suka mengatakan hal yang dianggap lucu dan cerdas oleh orang lain;Nur;Exh;
167;Saya suka mencoba pekerjaan yang baru dan berbeda-beda, daripada melakukan pekerjaan yang sama dan terus menerus;Saya kadang-kadang suka melakukan hal-hal hanya untuk melihat bagaimana pengaruhnya terhadap orang lain;Chg;Exh;
168;Saya suka bertahan menghadapi suatu pekerjaan atau masalah, sekalipun tampaknya seolah-olah saya tak akan berhasil;Saya ingin orang-orang memperhatikan dan memberikan komentar mengenai penampilan saya di depan umum;End;Exh;Exh
169;Saya suka membaca buku-buku dan sandiwara, terutama yang berkisar sekitar masalah seks;Saya suka menjadi pusat perhatian, apabila saya ada di dalam suatu kelompok;Het;Exh;
170;Saya rasanya ingin menyalahkan orang lain bila keadaannya kurang menguntungkan saya;Saya suka mengajukan pertanyaan-pertanyaan yang menurut saya tidak seorangpun akan dapat menjawabnya;Agg;Exh;
171;Saya suka menunjukkan simpati saya kepada teman-teman saya bila mereka mendapat cedera atau sakit;Saya suka mengatakan pendapat saya tentang berbagai hal;Nur;Aut;
172;Saya suka makan di restoran-restoran yang baru atau asing;Saya suka melakukan hal-hal yang dianggap orang lain tidak sesuai dengan adat kebiasaan;Chg;Aut;
173;Saya ingin menyelesaikan pekerjaan satu persatu sebelum memulai yang lain;Saya ingin merasa bebas untuk melakukan apa yang saya kehendaki;End;Aut;
174;Saya suka ikut serta dalam diskusi-diskusi tentang seks dan aktifitas seksual;Saya ingin melakukan hal-hal dengan cara saya sendiri tanpa menghiraukan apa yang mungkin dipikirkan orang lain;Het;Aut;Aut
175;Saya menjadi sedemikian marahnya, sehingga rasanya ingin melemparkan dan merusak barang-barang;Saya suka mengelakkan tanggung jawab dan kewajiban-kewajiban;Agg;Aut;
176;Saya suka menolong teman-teman saya, apabila mereka dalam kesulitan;Saya ingin loyal terhadap teman-teman saya;Nur;Aff;
177;Saya suka mengerjakan hal-hal yang baru dan berbeda-beda;Saya suka membuat teman teman baru;Chg;Aff;
178;Bila saya harus melakukan suatu tugas, saya ingin mengerjakannya sampai selesai;Saya suka bergaul dalam kelompok yang para anggotanya akrab dan bersahabat satu sama lainnya;End;Aff;
179;Saya suka bepergian dengan lawan jenis saya yang menarik;Saya ingin membuat teman sebanyak mungkin;Het;Aff;
180;Saya suka menyerang pendirian-pendirian yang bertentangan dengan pendirian saya;Saya suka berkirim surat pada teman-teman saya;Agg;Aff;
181;Saya suka bermurah hati terhadap teman teman saya;Saya suka mengamat-amati bagaimana perasaan orang lain dalam satu keadaan tertentu;Nur;Int;
182;Saya suka makan di restoran-restoran yang baru atau asing;Saya suka untuk menempatkan diri saya ditempat orang lain, dan membayangkan bagaimana perasaan saya apabila saya dalam keadaan atau situasi yang sama;Chg;Int;
183;Saya suka bekerja sampai jauh malam untuk menyelesaikan suatu pekerjaan;Saya ingin memahami bagaimana perasaan teman-teman saya dalam menghadapi berbagai masalah;End;Int;
184;Saya suka nafsu saya terangsang;Saya suka mempelajari dan menganalisa tingkah laku orang-orang lain;Het;Int;
185;Saya rasanya ingin memperolok-olok orang-orang yang melakukan hal-hal yang saya anggap bodoh;Saya suka meramalkan bagimana teman-teman saya akan bertindak dalam berbagai situasi;Agg;Int;
186;Saya suka memaafkan teman-teman saya yang menyakiti hati saya;Saya ingin teman-teman saya memberi dorongan-dorongan kepada saya bila saya menghadapi kegagalan;Nur;Suc;
187;Saya suka bereksperimen dalam mencoba hal-hal yang baru;Saya ingin agar teman-teman saya menunjukkan simpati dan pengertian bila saya mengalami kesukaran-kesukaran;Chg;Suc;
188;Saya suka mengerjakan teka-teki atau memecahkan persoalan-persoalan sampai selesai;Saya ingin diperlakukan dengan ramah oleh teman-teman saya;End;Suc;
189;Saya ingin dianggap punya daya tarik fisik oleh orang-orang dari lawan jenis saya;Saya ingin teman-teman saya banyak menujukkan rasa sayang mereka terhadap saya;Het;Suc;
190;Saya rasanya ingin mengecam seseorang di muka umum bila orang itu patut menerimanya;Saya ingin agar teman-teman saya meributkan tentang diri saya, apabila mendapatkan cedera atau sakit;Agg;Suc;
191;Saya suka berlaku ramah tehadap teman-teman saya;Saya ingin dianggap sebagai pemimpin oleh orang-orang lain;Nur;Dom;
192;Saya lebih suka mencoba pekerjaan-pekerjaan yang baru dan lain daripada terus menerus melakukan pekerjaan yang sama;Apabila saya bekerja dalam suatu panitia, saya ingin ditunjuk atau dipilih sebagai ketuanya;Chg;Dom;
193;Saya suka menyelesaikan setiap pekerjaan atau tugas yang telah saya mulai;Saya ingin dapat membujuk dan mempengaruhi orang lain untuk melakukan apa yang saya kehendaki;End;Dom;
194;Saya suka ikut serta dalam diskusi-diskusi tentang seks dan aktifitas seksuil;Saya senang untuk diminta menyelesaikan pertentangan-pertentangan atau perselisihan-perselisihan;Het;Dom;
195;Saya menjadi sedemikian marahnya, sehingga rasanya ingin melemparkan dan merusak barang-barang;Saya suka menyatakan kepada orang lain bagaimana mereka harus melakukan pekerjaan mereka;Agg;Dom;
196;Saya suka berlaku sangat ramah terhadap teman teman saya;Bila keadaan kurang menguntungkan bagi saya, maka saya merasa bahwa saya harus lebih disalahkan daripada orang lain;Nur;Aba;
197;Saya suka berkeliling di pedalaman dan tinggal di berbagai tempat;Apabila saya melakukan sesuatu hal yang salah, saya merasa bahwa untuk itu saya harus dihukum;Chg;Aba;
198;Saya suka bertahan menghadapi suatu pekerjaan atau masalah, sekalipun tampaknya seolah-olah saya tak akan berhasil;Saya merasa bahwa pilu hati dan kesusahan yang telah saya alami, lebih banyak membawa kebaikan daripada kerugian bagi saya;End;Aba;
199;Saya suka membaca buku-buku dan sandiwara, terutama yang berkisar sekitar masalah seks;Saya merasa bahwa saya harus mengakui hal-hal yang telah saya lakukan dan saya anggap salah;Het;Aba;
200;Saya rasanya ingin menyalahkan orang lain bila keadaannya kurang menguntungkan saya;Saya merasa bahwa dalam banyak hal, saya kalah bila dibandingkan dengan orang-orang lain;Agg;Aba;
201;Saya suka melakukan pekerjaan apa saja terbaik mungkin;Saya suka menolong orang-orang lain, yang tidak begitu beruntung apabila dibandingkan dengan keadaan saya;Nur;Nur;Nur
202;Saya suka mengerjakan hal-hal yang baru dan berbeda-beda;Saya suka memperlakukan orang lain dengan ramah dan simpatik;Chg;Nur;
203;Bila saya harus melakukan suatu tugas, saya ingin mengerjakannya sampai selesai;Saya suka menolong orang-orang lain, yang tidak begitu beruntung apabila dibandingkan dengan keadaan saya;End;Nur;
204;Saya suka ikut dalam aktivitas-aktivitas sosial bersama-sama dengan orang-orang dari lawan jenis saya;Saya suka memaafkan teman-teman saya yang menyakiti hati saya;Het;Nur;
205;Saya suka menyerang pendirian-pendirian yang bertentangan dengan pendirian saya;Saya ingin teman-teman saya mempercayai saya dan menceritakan kesulitan-kesulitan mereka kepada saya;Agg;Nur;
206;Saya suka memperlakukan orang lain dengan ramah dan simpatik;Saya suka bepergian melihat-lihat daerah pedalaman;Nur;Chg;
207;Saya suka mengikuti adat-istiadat dan menghindarkan melakukan hal-hal yang mungkin dianggap tidak wajar oleh orang-orang yang saya hormati;Saya suka mengikuti mode baru;Chg;Chg;Chg
208;Saya suka bekerja keras pada tiap pekerjaan yang saya hadapi;Saya ingin mengalami pembaharuan dan perubahan dalam kehidupan saya sehari-hari;End;Chg;
209;Saya mempunyai keinginan untuk mencium orang yang menarik dari lawan jenis saya;Saya suka bereksperimen dalam mencoba hal-hal yang baru;Het;Chg;
210;Saya rasanya ingin menghardik orang lain bila saya berbeda pendapat dengan mereka;Saya suka mengikuti mode-mode baru;Agg;Chg;
211;Saya suka menolong orang-orang lain, yang tidak begitu beruntung apabila dibandingkan dengan keadaan saya;Saya suka menyelesaikan setiap pekerjaan atau tugas yang telah saya mulai;Nur;End;
212;Saya suka berkeliling di pedalaman dan tinggal di berbagai tempat;Saya ingin bekerja berjam-jam tanpa diganggu;Chg;End;
213;Jika saya akan bepergian, saya senang apabila segala sesuatunya telah direncanakan sebelumnya;Saya suka mengerjakan teka-teki dan memcahkan persoalan-persoalan sampai selesai;End;End;End
214;Saya mudah jatuh cinta pada seseorang dari lawan jenis saya;Saya ingin menyelesaikan pekerjaan satu persatu sebelum memulai yang lain;Het;End;
215;Saya suka mengatakan kepada orang-orang lain bagimana pendapat saya mengenai mereka;Saya ingin menghindarkan diganggu bila saya sedang bekerja;Agg;End;
216;Saya suka memberi pertolongan-pertolongan kecil kepada teman-teman saya;Saya suka ikut dalam aktivitas-aktivitas sosial bersama-sama dengan orang-orang dari lawan jenis saya;Nur;Het;
217;Saya suka bertemu dengan orang-orang baru;Saya mempunyai keinginan untuk mencium orang yang menarik dari lawan jenis saya;Chg;Het;
218;Saya ingin mengerjakan teka-teki atau memecahkan persoalan-persoalan sampai selesai;Saya mudah jatuh cinta pada seseorang dari lawan jenis saya;End;Het;
219;Saya suka berbicara tentang hal-hal yang telah saya capai;Saya suka mendengarkan atau menceritakan lelucon-lelucon yang terutama berkisar soal seks;Het;Het;Het
220;Saya rasanya ingin memperolok orang-orang yang melakukan hal-hal yang saya anggap bodoh;Saya suka mendengarkan atau menceritakan lelucon-lelucon yang terutama berkisar soal seks;Agg;Het;
221;Saya ingin teman-teman saya mempercayai saya dan menceritakan kesulitan-kesulitan mereka kepada saya;Sayas suka membaca berita-berita surat kabar tentang pembunuhan-pembunuhan dan lain-lain perbuatan kekerasan;Nur;Agg;
222;Saya suka mengikuti mode baru;Saya rasanya ingin mengecam seseorang di muka umum bila orang itu patut menerimanya;Chg;Agg;
223;Saya ingin menghindarkan diganggu bila saya sedang bekerja;Saya rasanya ingin menghardik orang lain bila saya berbeda pendapat dengan mereka;End;Agg;
224;Saya suka mendengarkan atau menceritakan lelucon-lelucon yang terutama berkisar soal seks;Rasa rasanya ingin membalas dendam bila seseorang menghina saya;Het;Agg;
225;Saya suka mengelakkan tanggung jawab dan kewajiban-kewajiban;Saya rasanya ingin memperolok-olok orang-orang yang melakukan hal-hal yang saya anggap bodoh;Agg;Agg;Agg
